EPC category,EPC type,Construction year,Renovation year,Number of floors,Floor area,Number of basements,Number of stairwells,Number of apartments,Exhaust,Balanced,Balanced with heat exchanger,Exhaust with heat pump,Natural ventilation,Pipe insulation,Door/windows insulation,Cement panel board,Tile/clinker,Carpet glue,Floor mat,Ventilation channel,Gbg
Multifamily house,Detached,1944.0,,3.0,721,1.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,0
Multifamily house,Detached,1977.0,1990.0,7.0,5800,2.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0
Multifamily house,Gable,1965.0,2012.0,6.0,4160,1.0,2.0,33.0,,,,,,1.0,1.0,,1.0,,,0.0,0
Multifamily house,Detached,1977.0,,1.0,2600,1.0,,,,,,,,,,,0.0,,0.0,0.0,0
Multifamily house,Detached,1966.0,2013.0,7.0,38230,2.0,17.0,341.0,1.0,1.0,0.0,0.0,0.0,1.0,,1.0,,0.0,0.0,0.0,0
Multifamily house,Detached,1969.0,1994.0,7.0,5270,1.0,4.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0
Multifamily house,Detached,1969.0,1994.0,7.0,5304,1.0,4.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0
Premise building,Detached,1950.0,,2.0,2231,1.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,,0
Multifamily house,Detached,1937.0,,2.0,461,1.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,0
Multifamily house,Detached,1954.0,1998.0,4.0,4712,0.0,10.0,61.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,1.0,,0.0,0
Multifamily house,Detached,1961.0,1995.0,14.0,5425,1.0,1.0,48.0,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,,,0.0,0
Multifamily house,Detached,1961.0,1995.0,4.0,3989,0.0,6.0,51.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,1.0,0
Multifamily house,Intermediate,1913.0,2002.0,6.0,3017,0.0,2.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0
Multifamily house,Detached,1945.0,2002.0,3.0,886,1.0,2.0,11.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,0
Multifamily house,Detached,1968.0,,,12791,1.0,1.0,30.0,,,,,,1.0,,,,0.0,0.0,,0
Multifamily house,Detached,1968.0,,,12791,1.0,1.0,24.0,,,,,,1.0,,,,0.0,0.0,,0
Multifamily house,Detached,1961.0,1995.0,14.0,4804,1.0,1.0,47.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,,0
